REGIÃO;UF;DESTINATARIO;LOCALIDADE;ITEM;PROGRAMA DE SAÚDE;QUANTIDADE;STATUS;DATA DE ENTREGA
NORDESTE;ALAGOAS;SES;ALAGOAS ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;-350.000;REMANEJAMENTO ;04/09/2020
NORDESTE;MARANHÃO ;SES;MARANHÃO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;-180.000;REMANEJAMENTO ;04/09/2020
NORDESTE;PARAÍBA;SES;PARAÍBA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;-40.000;REMANEJAMENTO ;04/09/2020
CENTRO-OESTE;DISTRITO FEDERAL ;SES;DISTRITO FEDERAL ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;-10.000;REMANEJAMENTO ;04/09/2020
NORDESTE;RIO GRANDE DO NORTE ;SES;RIO GRANDE DO NORTE ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;-7.000;REMANEJAMENTO ;04/09/2020
SUDESTE;SÃO PAULO ;SES;SÃO PAULO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;-150.000;REMANEJAMENTO ;04/09/2020
SUL ;SANTA CATARINA ;SMS;Ascura;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1.500;ENTREGA REALIZADA;24/08/2020
SUL ;RIO GRANDE DO SUL ;SMS;Salvador do Sul ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA;18/08/2020
SUL ;RIO GRANDE DO SUL ;SMS;Rio Grande ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;40.000;ENTREGA REALIZADA;18/08/2020
SUL ;RIO GRANDE DO SUL ;SMS;Montenegro ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;9.000;ENTREGA REALIZADA;18/08/2020
SUL ;RIO GRANDE DO SUL ;SMS;Maratá ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA;18/08/2020
SUL ;RIO GRANDE DO SUL ;SMS;Harmonia ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1.000;ENTREGA REALIZADA;18/08/2020
SUL ;RIO GRANDE DO SUL ;SMS;Capela de Santana;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;2.000;ENTREGA REALIZADA;18/08/2020
SUL ;RIO GRANDE DO SUL ;SMS;Brochier;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA ;28/09/2020
SUL ;PARANÁ ;SMS;Cambé;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA ;18/08/2020
SUL ;PARANÁ ;SMS;Londrina;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1.500;ENTREGA REALIZADA ;18/08/2020
CENTRO-OESTE;MATO GROSSO ;SMS;Nova Maringá;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA;21/08/2020
CENTRO-OESTE;MATO GROSSO ;SMS;Vale de São Domingos ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA ;08/09/2020
CENTRO-OESTE;MATO GROSSO ;SMS;Santa Rita do Trivelato ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA;21/08/2020
CENTRO-OESTE;MATO GROSSO ;SMS;Salto do Céu ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA;20/08/2020
CENTRO-OESTE;MATO GROSSO ;SMS;Rondolândia;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA;25/08/2020
CENTRO-OESTE;MATO GROSSO ;SMS;Reserva do Cabaçal;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA;20/08/2020
CENTRO-OESTE;MATO GROSSO ;SMS;Tapurah ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;2.000;ENTREGA REALIZADA ;28/08/2020
CENTRO-OESTE;MATO GROSSO ;SMS;Santa Carmem ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1.000;ENTREGA REALIZADA ;31/08/2020
CENTRO-OESTE;MATO GROSSO ;SMS;Porto Espiridião ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1.500;ENTREGA REALIZADA ;27/08/2020
CENTRO-OESTE;MATO GROSSO ;SMS;Ubiratã ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1.000;ENTREGA REALIZADA ;31/08/2020
CENTRO-OESTE;MATO GROSSO ;SMS;Nova Mutum ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5.000;ENTREGA REALIZADA ;27/08/2020
CENTRO-OESTE;MATO GROSSO ;SMS;Nova Lacerda ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1.500;ENTREGA REALIZADA ;27/08/2020
CENTRO-OESTE;MATO GROSSO ;SMS;Mirasol d' oeste;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1.000;ENTREGA REALIZADA ;27/08/2020
CENTRO-OESTE;MATO GROSSO ;SMS;Bela Santíssima Trindade;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;4.000;ENTREGA REALIZADA ;28/08/2020
CENTRO-OESTE;MATO GROSSO ;SMS;Itanhangá;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA ;28/08/2020
CENTRO-OESTE;MATO GROSSO ;SMS;Gloria d' oeste;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA ;28/08/2020
CENTRO-OESTE;MATO GROSSO ;SMS;Feliz Natal;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;2.000;ENTREGA REALIZADA ;04/09/2020
CENTRO-OESTE;MATO GROSSO ;SMS;Cláudia;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;4.500;ENTREGA REALIZADA ;28/08/2020
SUDESTE;MINAS GERAIS ;SMS;Montes Claros ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;28.500;ENTREGA REALIZADA ;02/09/2020
SUDESTE;MINAS GERAIS ;SMS;Viçosa;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;4.500;ENTREGA REALIZADA;24/08/2020
CENTRO-OESTE;GOIÁS;SMS;Porongatu ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1.500;ENTREGA REALIZADA ;24/08/2020
CENTRO-OESTE;GOIÁS;SMS;Avelinópolis;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA;31/08/2020
NORDESTE;BAHIA ;SMS;Jequié;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;13.500;ENTREGA REALIZADA;25/08/2020
NORDESTE;BAHIA ;SMS;Vitória da Conquista;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;50.000;ENTREGA REALIZADA;25/08/2020
NORDESTE;BAHIA ;SMS;Itapetinga ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;9.000;ENTREGA REALIZADA;24/08/2020
NORDESTE;ALAGOAS;SMS;Campo Alegre ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5.500;ENTREGA REALIZADA;24/08/2020
NORTE;ACRE;SAÚDE INDÍGENA;DSEI ALTO RIO JURUÁ ;FOSFATO DE OSELTAMIVIR 30MG;INFLUENZA;1.000;ENTREGA REALIZADA ;13/08/2020
NORTE;ACRE;SAÚDE INDÍGENA;DSEI ALTO RIO JURUÁ ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;3.000;ENTREGA REALIZADA ;13/08/2020
NORTE;ACRE;SAÚDE INDÍGENA;DSEI ALTO RIO JURUÁ ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;4.500;ENTREGA REALIZADA ;13/08/2020
NORTE;ACRE;SAÚDE INDÍGENA;DSEI ALTO RIO PURUS;FOSFATO DE OSELTAMIVIR 30MG;INFLUENZA;150;ENTREGA REALIZADA;12/08/2020
NORTE;ACRE;SAÚDE INDÍGENA;DSEI ALTO RIO PURUS;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;12.000;ENTREGA REALIZADA;12/08/2020
NORTE;ACRE;SAÚDE INDÍGENA;DSEI ALTO RIO JURUÁ ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;3.000;ENTREGA REALIZADA;27/04/2020
NORTE;ACRE;SAÚDE INDÍGENA;DSEI ALTO RIO JURUÁ ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;3.000;ENTREGA REALIZADA;04/06/2020
NORTE;ACRE;SAÚDE INDÍGENA;DSEI ALTO RIO JURUÁ ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;1.000;ENTREGA REALIZADA;27/04/2020
NORTE;ACRE;SAÚDE INDÍGENA;DSEI ALTO RIO JURUÁ ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;4.500;ENTREGA REALIZADA;07/07/2020
NORTE;ACRE;SES;ACRE;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;15.000;ENTREGA REALIZADA;03/07/2020
NORTE;ACRE;SES;ACRE;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;5.500;ENTREGA REALIZADA;25/03/2020
NORTE;ACRE;SES;ACRE;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;5.000;ENTREGA REALIZADA;08/05/2020
NORTE;ACRE;SES;ACRE;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;8.000;ENTREGA REALIZADA;21/01/2020
NORTE;ACRE;SES;ACRE;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;7.500;ENTREGA REALIZADA;03/07/2020
NORTE;ACRE;SES;ACRE;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;8.200;ENTREGA REALIZADA;20/01/2020
NORTE;ACRE;SES;ACRE;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;1.810;ENTREGA REALIZADA;25/03/2020
NORTE;ACRE;SES;ACRE;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;5.000;ENTREGA REALIZADA;08/05/2020
NORTE;ACRE;SES;ACRE;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;15.000;ENTREGA REALIZADA;07/08/2020
NORTE;ACRE;SMS;RIO BRANCO ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;15.000;ENTREGA REALIZADA;03/07/2020
NORTE;ACRE;SMS;RIO BRANCO ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;7.500;ENTREGA REALIZADA;03/07/2020
NORTE;ACRE;SMS;RIO BRANCO ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;7.000;ENTREGA REALIZADA;12/08/2020
NORTE;ACRE;SMS;RIO BRANCO ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;30.000;ENTREGA REALIZADA;12/08/2020
NORTE;ACRE;SES;ACRE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5.000;ENTREGA REALIZADA;31/03/2020
NORTE;ACRE;SES;ACRE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5.000;ENTREGA REALIZADA;18/04/2020
NORTE;ACRE;SES;ACRE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;8.000;ENTREGA REALIZADA;15/05/2020
NORTE;ACRE;SES;ACRE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;79.000;ENTREGA REALIZADA;14/06/2020
NORTE;ACRE;SES;ACRE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;79.000;ENTREGA REALIZADA;07/08/2020
NORTE;ACRE;SMS;RIO BRANCO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;15.000;ENTREGA REALIZADA;07/08/2020
NORDESTE;ALAGOAS;SES;ALAGOAS;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;5.000;ENTREGA REALIZADA;06/08/2020
NORDESTE;ALAGOAS;SES;ALAGOAS;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;8.000;ENTREGA REALIZADA;06/08/2020
NORDESTE;ALAGOAS;SMS;MACEIÓ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;3.500;ENTREGA REALIZADA;12/08/2020
NORDESTE;ALAGOAS;SMS;MACEIÓ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;10.000;ENTREGA REALIZADA;12/08/2020
NORDESTE;ALAGOAS ;SAÚDE INDÍGENA;DSEI ALAGOAS/ SERGIPE;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;2.000;ENTREGA REALIZADA;17/04/2020
NORDESTE;ALAGOAS ;SAÚDE INDÍGENA;DSEI ALAGOAS/ SERGIPE;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;500;ENTREGA REALIZADA;17/04/2020
NORDESTE;ALAGOAS ;SAÚDE INDÍGENA;DSEI ALAGOAS/ SERGIPE;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;2.000;ENTREGA REALIZADA;26/06/2020
NORDESTE;ALAGOAS;SMS;MACEIÓ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;10.000;ENTREGA REALIZADA;30/06/2020
NORDESTE;ALAGOAS ;SES;ALAGOAS;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;10.000;ENTREGA REALIZADA;30/06/2020
NORDESTE;ALAGOAS ;SES;ALAGOAS;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;20.000;ENTREGA REALIZADA;13/04/2020
NORDESTE;ALAGOAS ;SES;ALAGOAS;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;10.000;ENTREGA REALIZADA;08/05/2020
NORDESTE;ALAGOAS ;SES;ALAGOAS;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;20.000;ENTREGA REALIZADA;14/04/2020
NORDESTE;ALAGOAS ;SES;ALAGOAS;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;1.500;ENTREGA REALIZADA;20/01/2020
NORDESTE;ALAGOAS ;SES;ALAGOAS;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;10.000;ENTREGA REALIZADA;13/04/2020
NORDESTE;ALAGOAS;SMS;MACEIÓ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;30.000;ENTREGA REALIZADA;20/07/2020
NORDESTE;ALAGOAS ;SES;ALAGOAS;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;2.500;ENTREGA REALIZADA;30/03/2020
NORDESTE;ALAGOAS ;SES;ALAGOAS;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5.000;ENTREGA REALIZADA;27/04/2020
NORDESTE;ALAGOAS ;SES;ALAGOAS;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;24.000;ENTREGA REALIZADA;05/05/2020
NORDESTE;ALAGOAS ;SES;ALAGOAS;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;380.500;ENTREGA REALIZADA;05/06/2020
NORTE;AMAPA;SAÚDE INDÍGENA;DSEI AMAPA E NORTE DO PARÁ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;9.000;ENTREGA REALIZADA;29/06/2020
NORTE;AMAPA;SAÚDE INDÍGENA;DSEI AMAPA E NORTE DO PARÁ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;2.000;ENTREGA REALIZADA;29/06/2020
NORTE;AMAPA;SES;AMAPÁ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;1.000;ENTREGA REALIZADA;10/07/2020
NORTE;AMAPA;SES;AMAPÁ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;3.000;ENTREGA REALIZADA;10/07/2020
NORTE;AMAPA;SES;AMAPÁ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;7.000;ENTREGA REALIZADA;01/05/2020
NORTE;AMAPA;SES;AMAPÁ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;500;ENTREGA REALIZADA;20/01/2020
NORTE;AMAPA;SMS;MACAPÁ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;200;ENTREGA REALIZADA;10/07/2020
NORTE;AMAPA;SES;AMAPÁ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;700;ENTREGA REALIZADA;10/07/2020
NORTE;AMAPA;SES;AMAPÁ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;350;ENTREGA REALIZADA;20/01/2020
NORTE;AMAPA;SES;AMAPÁ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;420;ENTREGA REALIZADA;27/03/2020
NORTE;AMAPA;SES;AMAPÁ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;2.000;ENTREGA REALIZADA ;13/08/2020
NORTE;AMAPA;SES;AMAPÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;2.000;ENTREGA REALIZADA;31/03/2020
NORTE;AMAPA;SES;AMAPÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;10.000;ENTREGA REALIZADA;22/04/2020
NORTE;AMAPA;SES;AMAPÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;25.000;ENTREGA REALIZADA;20/05/2020
NORTE;AMAPA;SES;AMAPÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;73.500;ENTREGA REALIZADA;10/06/2020
NORTE;AMAZONAS;SAÚDE INDÍGENA;DSEI MANAUS;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;5.000;ENTREGA REALIZADA;03/04/2020
NORTE;AMAZONAS;SAÚDE INDÍGENA;DSEI MANAUS;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;4.000;ENTREGA REALIZADA;08/05/2020
NORTE;AMAZONAS;SAÚDE INDÍGENA;DSEI MANAUS;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;5.000;ENTREGA REALIZADA;03/04/2020
NORTE;AMAZONAS;SAÚDE INDÍGENA;DSEI MANAUS;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;3.560;ENTREGA REALIZADA;08/05/2020
NORTE;AMAZONAS;SAÚDE INDÍGENA;DSEI MANAUS;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;5.000;ENTREGA REALIZADA;26/06/2020
NORTE;AMAZONAS;SAÚDE INDÍGENA;DSEI MANAUS;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;5.000;ENTREGA REALIZADA;26/06/2020
NORTE;AMAZONAS;SAÚDE INDÍGENA;DSEI MEDIO RIO SOLIMOES ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;4.500;ENTREGA REALIZADA;06/07/2020
NORTE;AMAZONAS;SAÚDE INDÍGENA;DSEI MEDIO RIO SOLIMOES ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;1.000;ENTREGA REALIZADA;06/07/2020
NORTE;AMAZONAS;SMS;MANAUS;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;4.000;ENTREGA REALIZADA;26/06/2020
NORTE;AMAZONAS;SES;AMAZONAS ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;3.000;ENTREGA REALIZADA;01/07/2020
NORTE;AMAZONAS;SES;AMAZONAS ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;12.000;ENTREGA REALIZADA;04/02/2020
